family,trackinglevel,subtype,grade,ucaspoints,upperscore,lowerscore,ranking
BTEC,"Level 1 & 2",Certificate,"Level 2 MP/Level 2 PP",0.0,NULL,NULL,3.6
BTEC,"Level 1 & 2",Certificate,"Level 2 PP/Level 2 MP",0.0,NULL,NULL,3.3
BTEC,"Level 1 & 2",Certificate,"Level 2 PP",0.0,NULL,NULL,3.0
BTEC,"Level 1 & 2",Certificate,"Level 2 PP/Level 1",0.0,NULL,NULL,2.6
BTEC,"Level 1 & 2",Certificate,"Level 1/Level 2 PP",0.0,NULL,NULL,2.3
BTEC,"Level 1 & 2",Certificate,"Level 1",0.0,NULL,NULL,2.0
BTEC,"Level 1 & 2",Certificate,"Level 1/U",0.0,NULL,NULL,1.6
BTEC,"Level 1 & 2",Certificate,"U/Level 1",0.0,NULL,NULL,1.3
BTEC,"Level 1 & 2",Certificate,U,0.0,NULL,NULL,1.0
BTEC,"Level 1 & 2",Diploma,"Level 2 D*D*",0.0,NULL,NULL,9.0
BTEC,"Level 1 & 2",Diploma,"Level 2 D*D*/Level 2 D*D",0.0,NULL,NULL,8.6
BTEC,"Level 1 & 2",Diploma,"Level 2 D*D/Level 2 D*D*",0.0,NULL,NULL,8.3
BTEC,"Level 1 & 2",Diploma,"Level 2 D*D",0.0,NULL,NULL,8.0
BTEC,"Level 1 & 2",Diploma,"Level 2 D*D/Level 2 DD",0.0,NULL,NULL,7.6
BTEC,"Level 1 & 2",Diploma,"Level 2 DD/Level 2 D*D",0.0,NULL,NULL,7.3
BTEC,"Level 1 & 2",Diploma,"Level 2 DD",0.0,NULL,NULL,7.0
BTEC,"Level 1 & 2",Diploma,"Level 2 DD/Level 2 DM",0.0,NULL,NULL,6.6
BTEC,"Level 1 & 2",Diploma,"Level 2 DM/Level 2 DD",0.0,NULL,NULL,6.3
BTEC,"Level 1 & 2",Diploma,"Level 2 DM",0.0,NULL,NULL,6.0
BTEC,"Level 1 & 2",Diploma,"Level 2 DM/Level 2 MM",0.0,NULL,NULL,5.6
BTEC,"Level 1 & 2",Diploma,"Level 2 MM/Level 2 DM",0.0,NULL,NULL,5.3
BTEC,"Level 1 & 2",Diploma,"Level 2 MM",0.0,NULL,NULL,5.0
BTEC,"Level 1 & 2",Diploma,"Level 2 MM/Level 2 MP",0.0,NULL,NULL,4.6
BTEC,"Level 1 & 2",Diploma,"Level 2 MP/Level 2 MM",0.0,NULL,NULL,4.3
BTEC,"Level 1 & 2",Diploma,"Level 2 MP",0.0,NULL,NULL,4.0
BTEC,"Level 1 & 2",Diploma,"Level 2 MP/Level 2 PP",0.0,NULL,NULL,3.6
BTEC,"Level 1 & 2",Diploma,"Level 2 PP/Level 2 MP",0.0,NULL,NULL,3.3
BTEC,"Level 1 & 2",Diploma,"Level 2 PP",0.0,NULL,NULL,3.0
BTEC,"Level 1 & 2",Diploma,"Level 2 PP/Level 1",0.0,NULL,NULL,2.6
BTEC,"Level 1 & 2",Diploma,"Level 1/Level 2 PP",0.0,NULL,NULL,2.3
BTEC,"Level 1 & 2",Diploma,"Level 1",0.0,NULL,NULL,2.0
BTEC,"Level 1 & 2",Diploma,"Level 1/U",0.0,NULL,NULL,1.6
BTEC,"Level 1 & 2",Diploma,"U/Level 1",0.0,NULL,NULL,1.3
BTEC,"Level 1 & 2",Diploma,U,0.0,NULL,NULL,1.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 D*D*",0.0,NULL,NULL,9.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 D*D*/Level 2 D*D",0.0,NULL,NULL,8.6
BTEC,"Level 1 & 2","Extended Certificate","Level 2 D*D/Level 2 D*D*",0.0,NULL,NULL,8.3
BTEC,"Level 1 & 2","Extended Certificate","Level 2 D*D",0.0,NULL,NULL,8.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 D*D/Level 2 DD",0.0,NULL,NULL,7.6
BTEC,"Level 1 & 2","Extended Certificate","Level 2 DD/Level 2 D*D",0.0,NULL,NULL,7.3
BTEC,"Level 1 & 2","Extended Certificate","Level 2 DD",0.0,NULL,NULL,7.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 DD/Level 2 DM",0.0,NULL,NULL,6.6
BTEC,"Level 1 & 2","Extended Certificate","Level 2 DM/Level 2 DD",0.0,NULL,NULL,6.3
BTEC,"Level 1 & 2","Extended Certificate","Level 2 DM",0.0,NULL,NULL,6.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 DM/Level 2 MM",0.0,NULL,NULL,5.6
BTEC,"Level 1 & 2","Extended Certificate","Level 2 MM/Level 2 DM",0.0,NULL,NULL,5.3
BTEC,"Level 1 & 2","Extended Certificate","Level 2 MM",0.0,NULL,NULL,5.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 MM/Level 2 MP",0.0,NULL,NULL,4.6
BTEC,"Level 1 & 2","Extended Certificate","Level 2 MP/Level 2 MM",0.0,NULL,NULL,4.3
BTEC,"Level 1 & 2","Extended Certificate","Level 2 MP",0.0,NULL,NULL,4.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 MP/Level 2 PP",0.0,NULL,NULL,3.6
BTEC,"Level 1 & 2","Extended Certificate","Level 2 PP/Level 2 MP",0.0,NULL,NULL,3.3
BTEC,"Level 1 & 2","Extended Certificate","Level 2 PP",0.0,NULL,NULL,3.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 PP/Level 1",0.0,NULL,NULL,2.6
BTEC,"Level 1 & 2","Extended Certificate","Level 1/Level 2 PP",0.0,NULL,NULL,2.3
BTEC,"Level 1 & 2","Extended Certificate","Level 1",0.0,NULL,NULL,2.0
BTEC,"Level 1 & 2","Extended Certificate","Level 1/U",0.0,NULL,NULL,1.6
BTEC,"Level 1 & 2","Extended Certificate","U/Level 1",0.0,NULL,NULL,1.3
BTEC,"Level 1 & 2","Extended Certificate",U,0.0,NULL,NULL,1.0
BTEC,"Level 1",Award,Pass,NULL,NULL,NULL,1.0
BTEC,"Level 1",Award,"Not Achieved",NULL,NULL,NULL,0.0
BTEC,"Level 1",Certificate,Pass,NULL,NULL,NULL,1.0
BTEC,"Level 1",Certificate,"Not Achieved",NULL,NULL,NULL,0.0
BTEC,"Level 1",Diploma,Pass,NULL,NULL,NULL,1.0
BTEC,"Level 1",Diploma,"Not Achieved",NULL,NULL,NULL,0.0
