family,trackinglevel,subtype,targetgrade,ucaspoints,entryscoreupper,entryscorelower,unitsscoreupper,unitsscorelower,ranking
BTEC,"Level 2",Certificate,D*,0.0,NULL,NULL,400.00,100.00,4.0
BTEC,"Level 2",Certificate,D*/D,0.0,NULL,NULL,-1.00,NULL,3.6
BTEC,"Level 2",Certificate,D/D*,0.0,NULL,NULL,-1.00,NULL,3.3
BTEC,"Level 2",Certificate,D,0.0,NULL,NULL,99.00,95.00,3.0
BTEC,"Level 2",Certificate,D/M,0.0,NULL,NULL,-1.00,NULL,2.6
BTEC,"Level 2",Certificate,M/D,0.0,NULL,NULL,-1.00,NULL,2.3
BTEC,"Level 2",Certificate,M,0.0,NULL,NULL,94.00,85.00,2.0
BTEC,"Level 2",Certificate,M/P,0.0,NULL,NULL,-1.00,NULL,1.6
BTEC,"Level 2",Certificate,P/M,0.0,NULL,NULL,-1.00,NULL,1.3
BTEC,"Level 2",Certificate,P,0.0,NULL,NULL,84.00,0.00,1.0
BTEC,"Level 2",Diploma,D*,0.0,NULL,NULL,999.00,400.00,4.0
BTEC,"Level 2",Diploma,D*/D,0.0,NULL,NULL,-1.00,NULL,3.6
BTEC,"Level 2",Diploma,D/D*,0.0,NULL,NULL,-1.00,NULL,3.3
BTEC,"Level 2",Diploma,D,0.0,NULL,NULL,399.00,380.00,3.0
BTEC,"Level 2",Diploma,D/M,0.0,NULL,NULL,-1.00,NULL,2.6
BTEC,"Level 2",Diploma,M/D,0.0,NULL,NULL,-1.00,NULL,2.3
BTEC,"Level 2",Diploma,M,0.0,NULL,NULL,379.00,340.00,2.0
BTEC,"Level 2",Diploma,M/P,0.0,NULL,NULL,-1.00,NULL,1.6
BTEC,"Level 2",Diploma,P/M,0.0,NULL,NULL,-1.00,NULL,1.3
BTEC,"Level 2",Diploma,P,0.0,NULL,NULL,339.00,0.00,1.0
BTEC,"Level 2","Extended Certificate",D*,0.0,NULL,NULL,600.00,200.00,4.0
BTEC,"Level 2","Extended Certificate",D*/D,0.0,NULL,NULL,-1.00,NULL,3.6
BTEC,"Level 2","Extended Certificate",D/D*,0.0,NULL,NULL,-1.00,NULL,3.3
BTEC,"Level 2","Extended Certificate",D,0.0,NULL,NULL,199.00,190.00,3.0
BTEC,"Level 2","Extended Certificate",D/M,0.0,NULL,NULL,-1.00,NULL,2.6
BTEC,"Level 2","Extended Certificate",M/D,0.0,NULL,NULL,-1.00,NULL,2.3
BTEC,"Level 2","Extended Certificate",M,0.0,NULL,NULL,189.00,170.00,2.0
BTEC,"Level 2","Extended Certificate",M/P,0.0,NULL,NULL,-1.00,NULL,1.6
BTEC,"Level 2","Extended Certificate",P/M,0.0,NULL,NULL,-1.00,NULL,1.3
BTEC,"Level 2","Extended Certificate",P,0.0,NULL,NULL,169.00,0.00,1.0
BTEC,"Level 1 & 2",Award,"Level 2 Distinction *",NULL,NULL,NULL,200.00,90.00,6.0
BTEC,"Level 1 & 2",Award,"Level 2 Distinction */Level 2 Distinction",NULL,NULL,NULL,-1.00,-1.00,5.6
BTEC,"Level 1 & 2",Award,"Level 2 Distinction/Level 2 Distinction *",NULL,NULL,NULL,-1.00,-1.00,5.3
BTEC,"Level 1 & 2",Award,"Level 2 Distinction",NULL,NULL,NULL,90.00,84.00,5.0
BTEC,"Level 1 & 2",Award,"Level 2 Distinction/Level 2 Merit",NULL,NULL,NULL,-1.00,-1.00,4.6
BTEC,"Level 1 & 2",Award,"Level 2 Merit/Level 2 Distinction",NULL,NULL,NULL,-1.00,-1.00,4.3
BTEC,"Level 1 & 2",Award,"Level 2 Merit",NULL,NULL,NULL,84.00,66.00,4.0
BTEC,"Level 1 & 2",Award,"Level 2 Merit/Level 2 Pass",NULL,NULL,NULL,-1.00,-1.00,3.6
BTEC,"Level 1 & 2",Award,"Level 2 Pass/Level 2 Merit",NULL,NULL,NULL,-1.00,-1.00,3.3
BTEC,"Level 1 & 2",Award,"Level 2 Pass",NULL,NULL,NULL,66.00,48.00,3.0
BTEC,"Level 1 & 2",Award,"Level 2 Pass/Level 1",NULL,NULL,NULL,-1.00,-1.00,2.6
BTEC,"Level 1 & 2",Award,"Level 1/Level 2 Pass",NULL,NULL,NULL,-1.00,-1.00,2.3
BTEC,"Level 1 & 2",Award,"Level 1",NULL,NULL,NULL,48.00,24.00,2.0
BTEC,"Level 1 & 2",Award,"Level 1/U",NULL,NULL,NULL,-1.00,NULL,1.6
BTEC,"Level 1 & 2",Award,"U/Level 1",NULL,NULL,NULL,-1.00,NULL,1.3
BTEC,"Level 1 & 2",Award,U,NULL,NULL,NULL,24.00,0.00,1.0
BTEC,"Level 1 & 2",Certificate,"Level 2 D*D*",NULL,NULL,NULL,300.00,180.00,9.0
BTEC,"Level 1 & 2",Certificate,"Level 2 D*D*/Level 2 D*D",NULL,NULL,NULL,-1.00,-1.00,8.6
BTEC,"Level 1 & 2",Certificate,"Level 2 D*D/Level 2 D*D*",NULL,NULL,NULL,-1.00,-1.00,8.3
BTEC,"Level 1 & 2",Certificate,"Level 2 D*D",NULL,NULL,NULL,180.00,174.00,8.0
BTEC,"Level 1 & 2",Certificate,"Level 2 D*D/Level 2 DD",NULL,NULL,NULL,-1.00,-1.00,7.6
BTEC,"Level 1 & 2",Certificate,"Level 2 DD/Level 2 D*D",NULL,NULL,NULL,-1.00,-1.00,7.3
BTEC,"Level 1 & 2",Certificate,"Level 2 DD",NULL,NULL,NULL,174.00,168.00,7.0
BTEC,"Level 1 & 2",Certificate,"Level 2 DD/Level 2 DM",NULL,NULL,NULL,-1.00,-1.00,6.6
BTEC,"Level 1 & 2",Certificate,"Level 2 DM/Level 2 DD",NULL,NULL,NULL,-1.00,-1.00,6.3
BTEC,"Level 1 & 2",Certificate,"Level 2 DM",NULL,NULL,NULL,168.00,150.00,6.0
