courseid,userid
110,47671
110,48373
110,53190
14034,122
14035,19529
14035,395
14035,49350
14035,351
14035,31265
14035,364
14035,292
14035,328
14035,43646
14035,43912
14035,253
14104,50171
14104,47914
14104,43801
14104,20202
14104,19534
14104,19535
14104,20158
14104,19084
14104,27275
14104,20205
14104,267
14104,47526
14104,20175
14104,27745
14104,30073
14104,49123
14104,20142
14080,46265
14080,663
14080,380
14080,392
14080,200
14080,143
14080,317
14080,358
14080,87
14080,45518
14080,426
14080,28137
14080,39478
14080,35975
14080,47236
14080,47414
14080,50265
14081,663
14081,392
14081,380
14081,317
14081,200
14081,143
14081,87
14081,46265
14081,426
14081,358
14081,28137
14081,45518
14081,35975
14081,47236
14081,50265
14081,47414
14083,46265
14083,87
14083,663
14083,392
14083,380
14083,317
14083,200
14083,143
14083,358
14083,426
14083,28137
14083,45518
14083,35975
14083,47236
14083,47414
14083,50265
112,408
112,148
112,608
112,71
112,601
112,35
112,47671
112,153
112,52079
115,17
115,32547
115,677
116,170
116,17
116,205
116,677
117,87
117,448
117,426
117,28137
117,39478
119,132
119,20
119,677
122,7
122,198
122,85
122,406
122,37
122,599
122,27
122,706
122,158
122,53990
122,186
122,545
122,20636
122,228
122,30474
122,46641
122,51028
122,157
122,50852
124,135
124,177
124,360
124,287
124,81
124,208
124,35562
124,40283
124,238
124,556
124,295
124,24678
124,266
124,188
124,37522
124,231
124,494
124,48512
124,91
125,408
125,148
125,53
125,213
125,610
125,35
125,71
125,608
125,601
126,468
126,356
126,233
126,8
126,442
126,32535
126,36917
126,46502
7863,214
7863,229
7863,686
7863,627
7863,51
7863,347
7863,271
7863,37043
7863,39828
7863,37501
7863,669
7863,27072
7863,46613
7863,670
127,468
127,233
127,8
127,356
127,442
127,32535
127,36917
127,46502
128,35975
128,35562
128,426
128,28137
128,45518
128,39478
128,50265
128,47414
10703,38144
10703,20151
10703,20175
10703,20182
10703,20190
10703,49598
10703,409
10703,96
10703,31154
7820,40283
7820,347
7820,231
7820,27009
19742,20175
19742,20190
19743,40294
19743,20611
7857,19534
7857,19535
7857,20158
7857,20202
7857,27275
7857,19084
7857,65
7857,66
7857,110
7857,267
7857,20177
7857,32618
7857,30073
7857,39563
7857,47526
7857,20175
7857,43801
7857,49123
7857,20140
7857,20205
7857,20699
7857,20608
7857,47914
7857,20585
7857,20659
7857,39437
18431,273
18431,157
18431,7
18431,38146
18431,38151
18431,49059
18431,48458
18431,53
18431,251
18431,605
18431,46
18431,281
18431,210
18431,34418
18431,31925
18431,27128
18431,73
18431,263
18431,186
18431,46641
18431,593
18431,307
18431,49869
18431,49868
18431,598
18431,562
18431,563
18431,632
18431,117
18431,159
18431,671
18431,320
18431,466
18431,713
18431,36118
18431,430
18431,594
18431,39470
18432,605
18432,593
18432,307
18432,46
18432,38146
18432,49869
18432,210
18432,49059
18432,251
18432,273
18432,281
18432,49868
18432,598
18432,562
18432,563
18432,632
18432,117
18432,159
18432,671
18432,320
18432,466
18432,713
18432,36118
18432,430
18432,594
18432,38151
18432,91
18432,24234
18432,73
18432,263
18433,38151
18433,38122
18433,281
18433,273
18433,210
18433,251
18433,605
18433,30073
18433,49059
18433,46
18433,38146
18433,20163
18433,27744
18433,73
18433,263
18433,20177
18433,20140
18433,593
18433,307
18433,49869
18433,49868
18433,598
18433,562
18433,563
18433,632
18433,117
18433,159
18433,671
18433,320
18433,466
18433,713
18433,36118
18433,430
18433,594
10802,122
10802,173
10802,38119
10802,31265
7858,20175
129,139
129,294
129,23383
129,20
129,17
129,86
129,173
129,677
129,20606
129,157
130,408
130,148
130,53
130,213
130,610
130,71
130,608
130,601
130,35562
130,40417
130,35
130,39437
130,166
132,426
132,28137
132,45518
10683,380
10683,317
10683,663
10683,200
10683,143
10683,715
10683,721
10683,720
10683,719
10683,438
10683,716
10683,426
10683,577
10683,28137
10683,45518
10683,39478
14243,492
14243,106
14243,150
14243,29178
3761,608
3761,71
3761,148
3761,408
3761,601
3761,610
3761,35
3761,52079
3762,608
3762,148
3762,408
3762,71
3762,601
3762,52079
3764,677
3765,31153
3765,32026
3765,677
3766,286
3766,249
3766,469
3766,105
3766,27741
3766,383
3766,27743
3766,61
3766,31283
3766,31
3766,11277
3766,46960
3766,246
3767,625
3767,646
3767,709
3767,373
3767,37748
3767,37281
3767,52893
3771,501
3771,65
3771,619
3771,27275
3771,11278
3771,267
3771,20175
3771,20202
3772,501
3772,619
3772,27275
3772,267
3772,11278
3772,65
3772,20175
3772,20202
3774,501
3774,26337
3774,267
3774,11278
3774,65
3774,619
3774,20175
3774,20202
3775,20606
3775,396
3775,38119
3775,33
3775,18898
3775,20700
3775,20
3775,37212
3775,139
3775,434
3775,677
3775,205
3775,31265
3775,46964
3775,157
7862,150
7862,587
7862,399
7862,408
7862,36306
3777,335
3777,399
3777,668
3777,53
3777,374
3777,63
3777,37
3777,406
3777,299
3777,157
3778,30930
3778,129
3778,120
3778,266
3778,40
3778,11277
3778,570
3778,11278
3778,202
3778,24680
3778,433
3778,421
3778,37509
3778,194
3778,575
7883,677
3779,129
3779,120
3779,433
3779,11269
3779,28900
10762,20202
10762,19535
10762,20158
10762,20205
10762,20608
10762,19534
10762,20699
10762,20659
10762,19084
10762,65
10762,66
10762,110
10762,267
10762,27275
10762,20177
10762,30073
10762,39437
10762,39563
10762,32618
10762,47526
10762,20175
10762,43801
10762,49123
10859,20691
10859,20196
10859,20127
10859,20177
10859,20124
10859,32624
10859,34405
10859,20195
10859,20163
10859,20171
10859,32618
10859,20175
10859,20156
10859,20181
10859,37490
10859,39470
10859,40294
10859,37516
10859,27128
10859,20142
10859,51532
10765,35
10765,408
10765,53
10765,578
10765,608
10765,213
10765,610
10765,148
10765,71
10765,20270
3782,359
7796,17246
7796,128
7796,285
7796,94
7796,106
7796,150
7796,564
7796,492
7796,587
7796,19533
7796,551
7796,19538
7796,374
7796,27009
7796,35
7796,399
7796,51029
7796,29178
7796,52741
7797,17246
7797,27009
7797,399
7797,48385
3792,587
3792,285
3792,17246
3792,35
3792,32618
3793,51
3793,347
3793,214
3793,229
3793,627
3793,37501
3793,46613
3793,39828
3793,37043
3793,27072
3793,670
3857,408
3857,36
3857,53
3857,71
3857,610
3857,148
3857,213
3857,608
3857,285
3857,601
3857,11275
3857,18737
3857,19
3857,697
3857,334
3857,374
3857,39437
3857,48458
18736,552
18518,20672
18518,552
18518,30221
18517,552
3859,373
3859,115
3859,625
3859,282
3859,221
3859,709
3859,27872
3859,405
3859,37748
3859,35620
3859,28137
3859,39478
3859,38147
3859,426
3859,48373
14093,40283
14093,306
14093,35562
14093,27009
14093,295
14093,24678
14093,266
14093,26335
14093,37522
14093,48458
14093,231
3860,282
3860,115
3860,625
3860,11279
3860,221
3860,269
3860,709
3860,25693
3860,373
3860,27872
3860,37748
3860,28137
3860,38147
3862,129
3862,120
3864,604
3864,167
3864,327
3864,259
3864,17247
3864,20210
3864,20635
3866,205
3866,677
3866,37282
3866,46158
3867,677
3867,38119
3867,37282
3867,31265
3867,157
3868,285
3868,17246
3868,35
10744,238
10744,360
10744,556
10744,188
10744,644
10744,81
10744,135
10744,177
10744,208
10744,35562
10744,494
10744,266
10744,24678
10744,40283
10744,37522
10744,26344
10744,231
10744,274
10744,287
10744,295
10744,20850
10744,25503
10744,46089
7841,20693
7841,20175
7841,29721
7841,20129
7841,20195
7841,20184
7841,19940
7841,20196
7841,20205
7841,20156
7841,20171
7841,20137
7841,20691
7841,20164
7841,20177
7841,20139
7841,31925
7841,32618
7841,34418
7841,37516
7841,34534
7841,20179
7841,20585
7841,37490
7841,20140
7841,39470
7841,34537
7841,27128
7841,20163
7841,49175
7841,49551
7841,34405
7841,20142
7841,51532
7841,19535
7841,20699
7841,20608
7841,20659
7846,20124
7846,20175
7846,20142
7808,18292
7808,18291
7808,61
7808,452
7808,18293
7808,18294
7808,18297
7808,18299
7808,18300
7808,18301
7808,37539
7808,30675
7808,46960
7808,31154
7808,49598
7808,409
7808,96
3878,610
3878,297
3878,408
3878,20270
3878,35
3883,32618
3883,677
3884,677
7842,20133
7842,20194
7842,20177
7842,20124
7842,32618
7842,20175
7842,38144
7842,20142
7842,20699
7842,20659
7843,20139
7843,20151
7843,20133
7843,20194
7843,20124
7843,20175
7843,38122
7843,49596
7843,20142
7843,20699
7843,20659
10763,173
14122,20124
14122,20175
14122,38122
14122,36500
14122,30675
14122,49596
14122,20142
14122,20140
14123,20124
14123,30675
3893,599
3893,406
3893,53990
3893,545
3893,228
3894,599
3894,406
3894,53990
3894,545
3894,228
3895,599
3895,406
3895,545
3895,53990
3895,228
10684,20880
10684,20133
10684,20124
10684,20143
10684,27600
10684,32624
10684,32618
10684,43801
10684,20151
10684,20175
10684,37555
10684,38122
10684,20140
10684,36500
10684,20194
10684,20205
10684,37519
10684,49596
10684,20142
10696,20124
10696,20177
10696,20175
10696,20142
3897,330
3897,27
3897,406
3897,158
3897,186
3897,53990
3897,599
3897,545
3897,426
3897,706
3897,228
3897,51028
3897,85
3897,157
3897,46641
3902,335
3902,399
3904,335
3904,399
3905,335
3905,399
3907,335
3907,399
3908,399
3910,399
3911,399
3915,399
3917,399
3918,399
3919,171
3919,399
3921,171
3921,399
3922,171
3922,399
3923,399
3925,399
3926,399
3927,399
3929,351
3929,399
3930,399
3931,668
3931,399
3933,668
3933,399
3934,668
3934,399
3935,698
3935,399
3937,698
3937,399
3938,698
3938,399
3939,399
3940,399
3941,399
3942,264
3942,253
3942,552
3942,406
3942,34408
14755,552
14755,20672
14755,30221
3943,405
3943,69
3943,35562
3943,241
3943,373
3943,18898
3943,709
3943,37748
3943,39478
3943,603
3943,579
18331,30221
18331,20672
18331,552
18334,28137
18334,426
18334,46956
18334,24235
18334,46957
18334,48890
18334,26034
18334,358
18334,448
18334,39478
3944,405
3944,269
3944,162
3944,18898
3944,69
