id,userid,trackingqualificationid,trackingunitid,award,comments,dateupdated,userdefinedvalue,shortvalue,setbyuserid,updatedbyuserid,dateset
78002,34293,148,376,,,,,,,,
78003,34293,148,377,,,,,,,,
78004,34293,148,772,,,,,,,,
78005,34293,148,25,,,,,,,,
78006,34293,148,380,,,,,,,,
78007,25059,148,11,,,,,,,,
78008,25059,148,12,,,,,,,,
78009,25059,148,13,,,,,,,,
78010,25059,148,14,,,,,,,,
78011,25059,148,15,,,,,,,,
78012,25059,148,16,,,,,,,,
78013,25059,148,183,,,,,,,,
78014,25059,148,17,,,,,,,,
78015,25059,148,372,,,,,,,,
78016,25059,148,373,,,,,,,,
78017,25059,148,374,,,,,,,,
78018,25059,148,375,,,,,,,,
78019,25059,148,376,,,,,,,,
78020,25059,148,377,,,,,,,,
78021,25059,148,772,,,,,,,,
78022,25059,148,25,,,,,,,,
78023,25059,148,380,,,,,,,,
78024,46110,397,11,,,,,,,,
78025,46110,397,12,,,,,,,,
78026,46110,397,13,,,,,,,,
78027,46110,397,14,,,,,,,,
78028,46110,397,15,,,,,,,,
78029,46110,397,469,,,,,,,,
78030,46110,397,470,,,,,,,,
78031,46110,397,471,,,,,,,,
77991,34293,148,12,,,,,,,,
77990,34293,148,11,,,,,,,,
77957,42596,148,12,,,,,,,,
77956,42596,148,11,,,,,,,,
77955,46101,148,380,,,,,,,,
77954,46101,148,25,,,,,,,,
101217,48009,627,1006,,,,,,,,
95322,35989,579,355,Pass,,,,,,,
112691,47983,409,227,,,,,,,,
112692,47983,409,310,,,,,,,,
94759,36809,112,189,Distinction,,,,,,,
94757,36809,112,187,Distinction,,1368622788,,,,,
94755,36809,112,185,Distinction,,1352910353,,,,,
94752,36809,112,183,Distinction,,1369998533,,,,,
94751,36809,112,15,Merit,,,,,,,
94750,36809,112,14,Distinction,,,,,,,
94749,36809,112,13,Distinction,,,,,,,
94731,35725,437,670,Pass,,,,,,,
94729,35725,437,709,Merit,,,,,,,
94727,35725,437,672,Pass,,,,,,,
94725,36346,437,710,Distinction,,,,,,,
109523,41531,595,553,,,,,,,,
114005,34966,409,541,Distinction,,,,,,,
113491,24769,409,230,,,,,,,,
113418,34914,409,845,,,,,,,,
99920,47837,409,153,,,,,,,,
99921,47837,409,154,,,,,,,,
99922,47837,409,155,,,,,,,,
92270,43080,485,589,,,,,,,,
92255,43158,485,639,,,,,,,,
92253,43158,485,637,,,,,,,,
92251,43158,485,635,,,,,,,,
92249,43158,485,630,,,,,,,,
92247,43158,485,628,,,,,,,,
92245,43158,485,626,,,,,,,,
110032,34926,134,767,Pass,,,,,,,
92212,42885,485,638,,,,,,,,
92210,42885,485,636,,,,,,,,
92208,42885,485,634,,,,,,,,
92206,42885,485,629,,,,,,,,
92204,42885,485,627,,,,,,,,
92202,42885,485,625,,,,,,,,
92200,42885,485,589,,,,,,,,
92198,34601,485,638,,,,,,,,
92195,34601,485,635,,,,,,,,
92193,34601,485,630,,,,,,,,
92191,34601,485,628,,,,,,,,
92189,34601,485,626,,,,,,,,
49540,35630,122,242,Distinction,,1372347321,,,,,
116226,36320,122,1214,,,,,,,,
49538,35630,122,240,Distinction,,,,,,,
49537,35630,122,239,Distinction,,,,,,,
49536,35630,122,238,Pass,,,,,,,
49535,35630,122,237,Distinction,,,,,,,
